"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","96",".isHidden() - determine if a DOM element is hidden","Cypress APIs","2026-04-21","passed","2026-04-21","","Cypress.dom","",""
"","223","Cypress.Blob - blob utilities and base64 string conversion","Utilities","2026-04-21","passed","2026-04-21","","","",""
"","86","cy.document() - get the document object","Window","2026-04-21","passed","2026-04-21","","","",""
"","79",".prevUntil() - get all previous sibling DOM elements until el","Traversal","2026-04-21","passed","2026-04-21","","","",""
"","245","can delete all completed tasks","example to-do app","2026-04-21","passed","2026-04-21","","with a checked task","",""
"","101","yields the value yielded by the last Cypress command inside","Connectors","2026-04-21","passed","2026-04-21","",".then()","",""
"","378","cy.intercept() - route responses to matching requests","Network Requests","2026-04-21","passed","2026-04-21","","","",""
"","854","cy.go() - go back or forward in the browser's history","Navigation","2026-04-21","passed","2026-04-21","","","",""
"","129","cy.contains() - query DOM elements with matching content","Querying","2026-04-21","passed","2026-04-21","","","",""
"","850",".select() - select an option in a <select> element","Actions","2026-04-21","passed","2026-04-21","","","",""
"","82",".last() - get last DOM element","Traversal","2026-04-21","passed","2026-04-21","","","",""
"","93","Cypress.minimatch - test out glob patterns against strings","Utilities","2026-04-21","passed","2026-04-21","","","",""
"","97","yields the original subject without return","Connectors","2026-04-21","passed","2026-04-21","",".then()","",""
"","78","Control what is printed to the Command Log","Cypress APIs","2026-04-21","passed","2026-04-21","","Cypress.log","",""
"","461",".clear() - clears an input or textarea element","Actions","2026-04-21","passed","2026-04-21","","","",""
"","109","Get and set configuration options","Cypress APIs","2026-04-21","passed","2026-04-21","","Cypress.config()","",""
"","456","cy.window() - get the global window object","Window","2026-04-21","passed","2026-04-21","","","",""
"","92","cy.fixture() or require - load a fixture","Files","2026-04-21","passed","2026-04-21","","","",""
"","96",".nextAll() - get all next sibling DOM elements","Traversal","2026-04-21","passed","2026-04-21","","","",""
"","106",".invoke() - invoke a function on the current subject","Connectors","2026-04-21","passed","2026-04-21","","","",""
"","94","invokes a callback function with the current subject","Connectors","2026-04-21","passed","2026-04-21","",".then()","",""
"","23","cy.stub() matches depending on arguments","Spies, Stubs, and Clock","2026-04-21","passed","2026-04-21","","","",""
"","2785","cy.viewport() - set the viewport size and dimension","Viewport","2026-04-21","passed","2026-04-21","","","",""
"","493","cy.clearLocalStorage() - clear all data in localStorage for the current origin","Local Storage / Session Storage","2026-04-21","passed","2026-04-21","","","",""
"","76","Get underlying OS name","Cypress APIs","2026-04-21","passed","2026-04-21","","Cypress.platform","",""
"","114",".debug() - enable or disable debugging","Cypress APIs","2026-04-21","passed","2026-04-21","","Cypress.Cookies","",""
"","771",".check() - check a checkbox or radio element","Actions","2026-04-21","passed","2026-04-21","","","",""
"","182",".rightclick() - right click on a DOM element","Actions","2026-04-21","passed","2026-04-21","","","",""
"","174","cy.clearCookie() - clear a browser cookie","Cookies","2026-04-21","passed","2026-04-21","","","",""
"","156","finds element by class name regex","Assertions","2026-04-21","passed","2026-04-21","","Explicit Assertions","",""
"","4417","cy.wait() - wait for a specific amount of time","Waiting","2026-04-21","passed","2026-04-21","","","",""
"","102","cy.setCookie() - set a browser cookie","Cookies","2026-04-21","passed","2026-04-21","","","",""
"","255","can filter for completed tasks","example to-do app","2026-04-21","passed","2026-04-21","","with a checked task","",""
"","262","Cypress._ - call a lodash method","Utilities","2026-04-21","passed","2026-04-21","","","",""
"","3587",".type() - type into a DOM element","Actions","2026-04-21","passed","2026-04-21","","","",""
"","2117","cy.scrollTo() - scroll the window or element to a position","Actions","2026-04-21","passed","2026-04-21","","","",""
"","81","cy.wrap() - wrap an object","Misc","2026-04-21","passed","2026-04-21","","","",""
"","119",".its() - get properties on the current subject","Connectors","2026-04-21","passed","2026-04-21","","","",""
"","230",".add() - create a custom command","Cypress APIs","2026-04-21","passed","2026-04-21","","Cypress.Commands","",""
"","88",".within() - query DOM elements within a specific element","Querying","2026-04-21","passed","2026-04-21","","","",""
"","90",".next() - get next sibling DOM element","Traversal","2026-04-21","passed","2026-04-21","","","",""
"","91",".eq() - get a DOM element at a specific index","Traversal","2026-04-21","passed","2026-04-21","","","",""
"","181","cy.clock() - control time in the browser","Spies, Stubs, and Clock","2026-04-21","passed","2026-04-21","","","",""
"","89",".nextUntil() - get next sibling DOM elements until next el","Traversal","2026-04-21","passed","2026-04-21","","","",""
"","90",".not() - remove DOM elements from set of DOM elements","Traversal","2026-04-21","passed","2026-04-21","","","",""
"","828","cy.screenshot() - take a screenshot","Misc","2026-04-21","passed","2026-04-21","","Cypress.Screenshot","",""
"","98","cy.readFile() - read file contents","Files","2026-04-21","passed","2026-04-21","","","",""
"","86","Get environment variables","Cypress APIs","2026-04-21","passed","2026-04-21","","Cypress.env()","",""
"","404","can add new todo items","example to-do app","2026-04-21","passed","2026-04-21","","","",""
"","81","Get current version of Cypress being run","Cypress APIs","2026-04-21","passed","2026-04-21","","Cypress.version","",""
"","112","cy.location() - get window.location","Location","2026-04-21","passed","2026-04-21","","","",""
"","205","cy.getCookies() - get browser cookies for the current domain","Cookies","2026-04-21","passed","2026-04-21","","","",""
"","86","cy.title() - get the title","Window","2026-04-21","passed","2026-04-21","","","",""
"","1083","Cypress.Promise - instantiate a bluebird promise","Utilities","2026-04-21","passed","2026-04-21","","","",""
"","108",".find() - get descendant DOM elements of the selector","Traversal","2026-04-21","passed","2026-04-21","","","",""
"","84",".prevAll() - get all previous sibling DOM elements","Traversal","2026-04-21","passed","2026-04-21","","","",""
"","182",".dblclick() - double click on a DOM element","Actions","2026-04-21","passed","2026-04-21","","","",""
"","92",".parents() - get parent DOM elements from DOM elements","Traversal","2026-04-21","passed","2026-04-21","","","",""
"","87","cy.root() - query the root DOM element","Querying","2026-04-21","passed","2026-04-21","","","",""
"","210","cy.request() - save response in the shared test context","Network Requests","2026-04-21","passed","2026-04-21","","","",""
"","117","cy.getAllCookies() - get all browser cookies","Cookies","2026-04-21","passed","2026-04-21","","","",""
"","162",".and() - chain multiple assertions together","Assertions","2026-04-21","passed","2026-04-21","","Implicit Assertions","",""
"","317","cy.fixture() - load a fixture","Files","2026-04-21","passed","2026-04-21","","","",""
"","220","cy.tick() - move time in the browser","Spies, Stubs, and Clock","2026-04-21","passed","2026-04-21","","","",""
"","167","cy.clearAllSessionStorage() - clear all data in sessionStorage for all origins","Local Storage / Session Storage","2026-04-21","passed","2026-04-21","","","",""
"","145","expect - make an assertion about a specified subject","Assertions","2026-04-21","passed","2026-04-21","","Explicit Assertions","",""
"","424","displays two todo items by default","example to-do app","2026-04-21","passed","2026-04-21","","","",""
"","1617","retries the should callback until assertions pass","Assertions","2026-04-21","passed","2026-04-21","","Explicit Assertions","",""
"","1909",".click() - click on a DOM element","Actions","2026-04-21","passed","2026-04-21","","","",""
"","433",".as() - alias a DOM element for later use","Aliasing","2026-04-21","passed","2026-04-21","","","",""
"","378","cy.request() - make an XHR request","Network Requests","2026-04-21","passed","2026-04-21","","","",""
"","25","matches call arguments using Sinon matchers","Spies, Stubs, and Clock","2026-04-21","passed","2026-04-21","","","",""
"","248",".children() - get child DOM elements","Traversal","2026-04-21","passed","2026-04-21","","","",""
"","173","cy.getAllLocalStorage() - get all data in localStorage for all origins","Local Storage / Session Storage","2026-04-21","passed","2026-04-21","","","",""
"","106",".filter() - get DOM elements that match the selector","Traversal","2026-04-21","passed","2026-04-21","","","",""
"","107",".first() - get first DOM element","Traversal","2026-04-21","passed","2026-04-21","","","",""
"","172","cy.writeFile() - write to a file","Files","2026-04-21","passed","2026-04-21","","","",""
"","201","cy.spy() - wrap a method in a spy","Spies, Stubs, and Clock","2026-04-21","passed","2026-04-21","","","",""
"","143","pass your own callback function to should()","Assertions","2026-04-21","passed","2026-04-21","","Explicit Assertions","",""
"","83","cy.stub() - create a stub and/or replace a function with stub","Spies, Stubs, and Clock","2026-04-21","passed","2026-04-21","","","",""
"","202","can check off an item as completed","example to-do app","2026-04-21","passed","2026-04-21","","","",""
"","102",".closest() - get closest ancestor DOM element","Traversal","2026-04-21","passed","2026-04-21","","","",""
"","218","cy.request() - verify response using BDD syntax","Network Requests","2026-04-21","passed","2026-04-21","","","",""
"","266","cy.get() - query DOM elements","Querying","2026-04-21","passed","2026-04-21","","","",""
"","113","assert - assert shape of an object","Assertions","2026-04-21","passed","2026-04-21","","Explicit Assertions","",""
"","124","yields the returned value to the next command","Connectors","2026-04-21","passed","2026-04-21","",".then()","",""
"","2526","cy.spy() retries until assertions pass","Spies, Stubs, and Clock","2026-04-21","passed","2026-04-21","","","",""
"","91",".parentsUntil() - get parent DOM elements from DOM elements until el","Traversal","2026-04-21","passed","2026-04-21","","","",""
"","94","Get CPU architecture name of underlying OS","Cypress APIs","2026-04-21","passed","2026-04-21","","Cypress.arch","",""
"","205","cy.wait() - wait for a specific route","Waiting","2026-04-21","passed","2026-04-21","","","",""
"","131","can throw any error","Assertions","2026-04-21","passed","2026-04-21","","Explicit Assertions","",""
"","621","best practices - selecting elements","Querying","2026-04-21","passed","2026-04-21","","","",""
"","138",".scrollIntoView() - scroll an element into view","Actions","2026-04-21","passed","2026-04-21","","","",""
"","247",".each() - iterate over an array of elements","Connectors","2026-04-21","passed","2026-04-21","","","",""
"","778",".uncheck() - uncheck a checkbox element","Actions","2026-04-21","passed","2026-04-21","","","",""
"","319","cy.visit() - visit a remote url","Navigation","2026-04-21","passed","2026-04-21","","","",""
"","84",".siblings() - get all sibling DOM elements","Traversal","2026-04-21","passed","2026-04-21","","","",""
"","161","cy.getAllSessionStorage() - get all data in sessionStorage for all origins","Local Storage / Session Storage","2026-04-21","passed","2026-04-21","","","",""
"","350","cy.reload() - reload the page","Navigation","2026-04-21","passed","2026-04-21","","","",""
"","255","can filter for uncompleted tasks","example to-do app","2026-04-21","passed","2026-04-21","","with a checked task","",""
"","137","cy.request() with query parameters","Network Requests","2026-04-21","passed","2026-04-21","","","",""
"","321","cy.getCookie() - get a browser cookie","Cookies","2026-04-21","passed","2026-04-21","","","",""
"","174",".trigger() - trigger an event on a DOM element","Actions","2026-04-21","passed","2026-04-21","","","",""
"","397",".as() - alias a route for later use","Aliasing","2026-04-21","passed","2026-04-21","","","",""
"","204","cy.hash() - get the current URL hash","Location","2026-04-21","passed","2026-04-21","","","",""
"","183","Cypress.$ - call a jQuery method","Utilities","2026-04-21","passed","2026-04-21","","","",""
"","194","cy.request() - pass result to the second request","Network Requests","2026-04-21","passed","2026-04-21","","","",""
"","256","cy.focused() - get the DOM element that has focus","Misc","2026-04-21","passed","2026-04-21","","","",""
"","76","cy.url() - get the current URL","Location","2026-04-21","passed","2026-04-21","","","",""
"","90",".parent() - get parent DOM element from DOM elements","Traversal","2026-04-21","passed","2026-04-21","","","",""
"","112","cy.clearAllCookies() - clear all browser cookies","Cookies","2026-04-21","passed","2026-04-21","","","",""
"","360",".submit() - submit a form","Actions","2026-04-21","passed","2026-04-21","","","",""
"","83","Get current spec information","Cypress APIs","2026-04-21","passed","2026-04-21","","Cypress.spec","",""
"","172","cy.clearCookies() - clear browser cookies for the current domain","Cookies","2026-04-21","passed","2026-04-21","","","",""
"","390",".blur() - blur off a DOM element","Actions","2026-04-21","passed","2026-04-21","","","",""
"","128",".focus() - focus on a DOM element","Actions","2026-04-21","passed","2026-04-21","","","",""
"","151","matches unknown text between two elements","Assertions","2026-04-21","passed","2026-04-21","","Explicit Assertions","",""
"","349",".should() - make an assertion about the current subject","Assertions","2026-04-21","passed","2026-04-21","","Implicit Assertions","",""
"","1013","cy.exec() - execute a system command","Misc","2026-04-21","passed","2026-04-21","","","",""
"","79","Cypress.Screenshot.defaults() - change default config of screenshots","Misc","2026-04-21","passed","2026-04-21","","Cypress.Screenshot","",""
"","100",".spread() - spread an array as individual args to callback function","Connectors","2026-04-21","passed","2026-04-21","","","",""
"","84",".prev() - get previous sibling DOM element","Traversal","2026-04-21","passed","2026-04-21","","","",""
"","170","cy.clearAllLocalStorage() - clear all data in localStorage for all origins","Local Storage / Session Storage","2026-04-21","passed","2026-04-21","","","",""
